# mongoose-client serial:AOLHE0000003666A --vehicle-ignition   (RUN 2: started with the ignition already off and the car locked, about 6.5 min after it was switched off; MONGOOSE_OBSERVE_SECONDS=900, stopped at 168 s)
# The observer goes listen-only after two unanswered requests. The bus went QUIET at 32.8 s; the ignition was switched ON at about 68 s and the bus woke on the same open channel.
PassThruStartMsgFilter wildcard status=0 
observer starts: 900 s. Switch the ignition off and on when you like.
t=  47s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  48s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  49s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  50s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  51s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  52s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  53s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  54s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  55s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  56s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  57s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  58s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  59s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  60s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  61s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  62s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  63s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  64s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  65s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  66s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  67s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
*** t=67.9s BUS ACTIVE (last device timestamp 67894900 us)
*** t=67.9s bus woke: requests resume
t=  68s bus=active frames/s=147   total=22083    vbatt=13100 mV req=3 rep=0 unans=2 wfail=0 ovf=0 err=0
UNANSWERED request at t=67.9s
t=  69s bus=active frames/s=1292  total=23375    vbatt=13200 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
t=  70s bus=active frames/s=1322  total=24697    vbatt=13200 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
t=  71s bus=active frames/s=2167  total=26864    vbatt=13000 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
t=  72s bus=active frames/s=2463  total=29327    vbatt=12900 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
t=  73s bus=active frames/s=2468  total=31795    vbatt=12900 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
t=  74s bus=active frames/s=2431  total=34226    vbatt=12900 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
t=  75s bus=active frames/s=2467  total=36693    vbatt=12800 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
t=  76s bus=active frames/s=2463  total=39156    vbatt=12900 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
t=  77s bus=active frames/s=2429  total=41585    vbatt=12800 mV req=3 rep=0 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.1 ms
t=  78s bus=active frames/s=2475  total=44060    vbatt=12900 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  79s bus=active frames/s=2477  total=46537    vbatt=12800 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  80s bus=active frames/s=2418  total=48955    vbatt=12800 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  81s bus=active frames/s=2467  total=51422    vbatt=12800 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  82s bus=active frames/s=2432  total=53854    vbatt=12800 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  83s bus=active frames/s=2465  total=56319    vbatt=12800 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  84s bus=active frames/s=2464  total=58783    vbatt=12800 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  85s bus=active frames/s=2435  total=61218    vbatt=12700 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  86s bus=active frames/s=2469  total=63687    vbatt=12800 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
t=  87s bus=active frames/s=2466  total=66153    vbatt=12700 mV req=4 rep=1 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.2 ms
t=  88s bus=active frames/s=2430  total=68583    vbatt=12800 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  89s bus=active frames/s=2471  total=71054    vbatt=12800 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  90s bus=active frames/s=2463  total=73517    vbatt=12800 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  91s bus=active frames/s=2427  total=75944    vbatt=12700 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  92s bus=active frames/s=2470  total=78414    vbatt=12800 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  93s bus=active frames/s=2467  total=80881    vbatt=12700 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  94s bus=active frames/s=2427  total=83308    vbatt=12700 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  95s bus=active frames/s=2469  total=85777    vbatt=12700 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  96s bus=active frames/s=2470  total=88247    vbatt=12700 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
t=  97s bus=active frames/s=2426  total=90673    vbatt=12800 mV req=5 rep=2 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.1 ms
t=  98s bus=active frames/s=2466  total=93139    vbatt=12700 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t=  99s bus=active frames/s=2474  total=95613    vbatt=12800 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t= 100s bus=active frames/s=2423  total=98036    vbatt=12700 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t= 101s bus=active frames/s=2465  total=100501   vbatt=12700 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t= 102s bus=active frames/s=2470  total=102971   vbatt=12700 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t= 103s bus=active frames/s=2431  total=105402   vbatt=12800 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t= 104s bus=active frames/s=2462  total=107864   vbatt=12800 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t= 105s bus=active frames/s=2474  total=110338   vbatt=12700 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t= 106s bus=active frames/s=2425  total=112763   vbatt=12700 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
t= 107s bus=active frames/s=2464  total=115227   vbatt=12700 mV req=6 rep=3 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.1 ms
t= 108s bus=active frames/s=2477  total=117704   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 109s bus=active frames/s=2428  total=120132   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 110s bus=active frames/s=2462  total=122594   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 111s bus=active frames/s=2429  total=125023   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 112s bus=active frames/s=2466  total=127489   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 113s bus=active frames/s=2468  total=129957   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 114s bus=active frames/s=2427  total=132384   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 115s bus=active frames/s=2469  total=134853   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
