# mongoose-client serial:AOLHE0000003666A --vehicle-hour-iso   (one hour, ISO15765 channel, live Volvo, started 08:44 UTC)
# Two flow-control filters (0x7E8/0x7E0, 0x7E9/0x7E1); a functional request each second (mode 01 PIDs 00,05,0C,0D) and mode 09 PID 04 every tenth second, whose two ECUs reply with interleaved multi-frame messages.
# Ran on the build with per-ID reassembly and TX-done messages paired by order; the later sequence-paired pairing, config, periodic and loopback code came after.
PassThruStartMsgFilter flow-control 7E8/7E0 status=0 
PassThruStartMsgFilter flow-control 7E9/7E1 status=0 
iso hour soak starts: 3600 s, rss_start=4896 kB
t=2940s requests=2940 single_ok=2646/2646 multi_ok=294/294 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3000s requests=3000 single_ok=2700/2700 multi_ok=300/300 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3060s requests=3060 single_ok=2754/2754 multi_ok=306/306 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3120s requests=3120 single_ok=2808/2808 multi_ok=312/312 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3180s requests=3180 single_ok=2862/2862 multi_ok=318/318 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3240s requests=3240 single_ok=2916/2916 multi_ok=324/324 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3300s requests=3300 single_ok=2970/2970 multi_ok=330/330 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3360s requests=3360 single_ok=3024/3024 multi_ok=336/336 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3420s requests=3420 single_ok=3078/3078 multi_ok=342/342 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3480s requests=3480 single_ok=3132/3132 multi_ok=348/348 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3540s requests=3540 single_ok=3186/3186 multi_ok=354/354 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
t=3600s requests=3600 single_ok=3240/3240 multi_ok=360/360 write_failures=0 read_errors=0 overflows=0 rss=5108 kB
iso hour soak done: 3600 s requests=3600 single=3240 ok=3240 bad=0 | multi-frame=360 ok=360 bad=0
write_failures=0 read_errors=0 overflows=0 tx_done_messages=3600 start_indications=720 second_ecu_replies=3240 stray=0
single-frame request->reply mean 9.14 ms worst 26.22 ms (5 ms read granularity) rss_start=4896 end=5108 kB
PassThruStopMsgFilter status=0 
