PassThruStartMsgFilter wildcard status=0 
hour soak starts: 3600 s, rss_start=4892 kB
t=2400s frames=5894968 rate=2456/s requests=2400 replies=2400 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2460s frames=6042321 rate=2456/s requests=2460 replies=2460 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2520s frames=6189693 rate=2456/s requests=2520 replies=2520 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2580s frames=6337069 rate=2456/s requests=2580 replies=2580 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2640s frames=6484437 rate=2456/s requests=2640 replies=2640 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2700s frames=6631816 rate=2456/s requests=2700 replies=2700 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2760s frames=6779176 rate=2456/s requests=2760 replies=2760 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2820s frames=6926551 rate=2456/s requests=2820 replies=2820 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2880s frames=7073926 rate=2456/s requests=2880 replies=2880 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=2940s frames=7221303 rate=2456/s requests=2940 replies=2940 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3000s frames=7368678 rate=2456/s requests=3000 replies=3000 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3060s frames=7516045 rate=2456/s requests=3060 replies=3060 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3120s frames=7663440 rate=2456/s requests=3120 replies=3120 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3180s frames=7810828 rate=2456/s requests=3180 replies=3180 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3240s frames=7958197 rate=2456/s requests=3240 replies=3240 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3300s frames=8105570 rate=2456/s requests=3300 replies=3300 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3360s frames=8252928 rate=2456/s requests=3360 replies=3360 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3420s frames=8400324 rate=2456/s requests=3420 replies=3420 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3480s frames=8547704 rate=2456/s requests=3480 replies=3480 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3540s frames=8695056 rate=2456/s requests=3540 replies=3540 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=3600s frames=8842439 rate=2456/s requests=3600 replies=3600 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
hour soak done: 3600 s frames=8842439 rate=2456/s requests=3600 replies=3600 unanswered=0 write_failures=0 overflows=0
device max_gap_us=8400 gaps_over_10ms=0 reply mean 7.40 ms worst 20.46 ms rss_start=4892 end=5344 kB
PassThruStopMsgFilter status=0 
